VehicleID,ActivityDateTimeEST,UniqueVIN ,Last_Event,Last_EventTime,Latitude_Last,Last_Longitude,Last_Vendor,Reactvation_Event,Reactivatiopn_EventTime,Reactvation_Latitude,Reactivation_Longitude,Reactivation vendor,Final_check,Inactivity(hours),Inactivity(days)
A4549DC0-ECDD-455B-B9E8-A98C637B288D,2018-09-17,1GB3GSBG9H1227082,4,2018-09-17 18:58:42,41.120757,-73.88682159999998,NYC DOE - PRIDE,3.0,2018-09-17 04:13:08,40.6529331,-73.93682199999998,NYC DOE - PRIDE,0,57.894444444444446,2.0
A4549DC0-ECDD-455B-B9E8-A98C637B288D,2018-09-12,1GB3GSBG9H1227082,13,2018-09-12 20:57:59,41.1207481,-73.8868113,NYC DOE - PRIDE,3.0,2018-09-12 04:26:54,40.6529563,-73.9367105,NYC DOE - PRIDE,0,106.1775,4.0
A4549DC0-ECDD-455B-B9E8-A98C637B288D,2018-09-04,1GB3GSBG9H1227082,4,2018-09-04 11:34:14,40.6573965,-73.8926556,NYC DOE - PRIDE,3.0,2018-09-04 04:33:55,40.65487279999999,-73.8931833,NYC DOE - PRIDE,0,66.42722222222223,3.0
B4A1A1F9-D04C-4670-A6B7-C7DD1CAE0241,2018-09-13,1FDXE45P35HA40459,177,2018-09-13 16:31:33,40.8226778,-73.88105959999999,NYC DOE - DON THOMAS,3.0,2018-09-13 06:58:47,40.8223181,-73.881896,NYC DOE - DON THOMAS,0,224.4013888888889,9.0
B4A1A1F9-D04C-4670-A6B7-C7DD1CAE0241,2018-09-24,1FDXE45P35HA40459,84,2018-09-24 13:05:49,40.8226516,-73.8813788,NYC DOE - DON THOMAS,84.0,2018-09-24 13:05:49,40.8226516,-73.8813788,NYC DOE - DON THOMAS,0,48.001666666666665,2.0
B66C3C33-4DE2-4651-98EB-5A5218ED7FD5,2018-09-30,1FDSE35P35HA75703,177,2018-09-07 12:07:58,40.8861435,-73.829526,NYC DOE - RELIANT/MV,,,,,,1,563.8669444444445,23.0
B71790E9-99F6-4482-A7F2-3547C8B73054,2018-09-30,1GBHG31K281108422_md2,84,2018-09-17 12:17:38,40.782034,-73.8714085,NYC DOE - TWENTY FIRST AVE,,,,,,1,323.7058333333333,13.0
C426FDB7-97B3-4C9B-B64B-80FA2C3DF336,2018-09-30,1FDWE35P94HA89542,106,2018-09-20 08:48:19,40.688696500000006,-73.84625859999998,NYC DOE - LOGAN FAMILY,,,,,,1,255.19444444444446,11.0
C6AEA02B-8448-4CAA-80A5-C7083A89C8D5,2018-09-12,1FDFE4FS4FDA32815,106,2018-09-12 15:33:24,40.6732706,-73.8978793,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-12 10:09:23,40.6731731,-73.89798449999998,NYC DOE - BORO/CONSOLIDATED/SNT,0,119.87444444444445,5.0
CA93DC05-88DA-4CDD-A1E4-54BB6D5CB4E2,2018-09-05,4DRBUC8N5FB647873   ,177,2018-09-05 07:01:37,40.70114210000001,-73.7772686,NYC DOE - RELIANT/MV,3.0,2018-09-05 06:55:54,40.7010323,-73.777371,NYC DOE - RELIANT/MV,0,100.14277777777778,4.0
CA93DC05-88DA-4CDD-A1E4-54BB6D5CB4E2,2018-09-30,4DRBUC8N5FB647873   ,177,2018-09-05 07:01:37,40.70114210000001,-73.7772686,NYC DOE - RELIANT/MV,,,,,,1,616.9727777777778,26.0
D66F8202-B421-4371-A17F-C959E18E0A82,2018-09-09,1FDEE3FL9DDB07147,84,2018-09-09 17:51:14,40.696088,-73.9781368,NYC DOE - DON THOMAS,84.0,2018-09-09 17:51:14,40.696088,-73.9781368,NYC DOE - DON THOMAS,0,48.01111111111111,2.0
D8B62D42-DF99-46A7-91A6-F45E30FD1369,2018-09-30,1FDSE35P16DA62330,14,2018-09-28 16:46:20,40.8764526,-73.84258009999998,NYC DOE - PIONEER,,,,,,1,55.2275,2.0
D8B62D42-DF99-46A7-91A6-F45E30FD1369,2018-09-24,1FDSE35P16DA62330,14,2018-09-24 17:26:29,40.8553271,-73.8431586,NYC DOE - PIONEER,3.0,2018-09-24 05:38:43,40.76344,-73.9805303,NYC DOE - PIONEER,0,62.33444444444444,3.0
D8B62D42-DF99-46A7-91A6-F45E30FD1369,2018-09-11,1FDSE35P16DA62330,4,2018-09-11 06:19:39,40.82279550000001,-73.8430041,NYC DOE - PIONEER,3.0,2018-09-11 06:17:50,40.8227195,-73.8431588,NYC DOE - PIONEER,0,71.81861111111111,3.0
